lon,lat
-36.6615,-9.75487,
-36.6615,-9.75487,
-36.6615,-9.75487,
-35.9057,-9.83842,
-35.9057,-9.83842,
-37.133,-9.6742,
-37.133,-9.6742,
-37.133,-9.6742,
-36.0162,-9.23342,
-36.0162,-9.23342,
-36.9911,-9.40121,
-36.9911,-9.40121,
-36.0826,-9.41504,
-36.0826,-9.41504,
-36.2983,-9.2556,
-36.1717,-10.1276,
-36.1717,-10.1276,
-36.7644,-9.39089,
-36.7644,-9.39089,
-36.7644,-9.39089,
-36.7644,-9.39089,
-36.3028,-10.2935,
-35.7139,-9.27281,
-35.7139,-9.27281,
-36.6597,-10.1235,
-35.5669,-8.93297,
-35.5669,-8.93297,
-35.5669,-8.93297,
-35.5669,-8.93297,
-36.7413,-9.83291,
-36.7413,-9.83291,
-36.7413,-9.83291,
-35.735,-9.66599,
-36.992,-9.53009,
-37.3524,-9.23045,
-36.3045,-9.58353,
-36.3045,-9.58353,
-36.3045,-9.58353,
-37.7323,-9.11824,
-37.7323,-9.11824,
-37.7323,-9.11824,
-37.8301,-9.50357,
-37.8301,-9.50357,
-37.9988,-9.25634,
-37.9988,-9.25634,
-37.9988,-9.25634,
-35.552,-9.46313,
-35.4745,-9.24511,
-36.3672,-9.36792,
-36.3672,-9.36792,
-36.5819,-10.2874,
-36.5819,-10.2874,
-37.2889,-9.30742,
-37.2889,-9.30742,
-35.3987,-9.05195,
-35.3987,-9.05195,
-35.3049,-9.16006,
-35.3049,-9.16006,
-35.3049,-9.16006,
-35.3049,-9.16006,
-35.9782,-9.83503,
-35.8232,-9.6037,
-36.2176,-9.17141,
-36.8522,-10.1141,
-36.8522,-10.1141,
-36.8522,-10.1141,
-36.0515,-9.01278,
-36.0515,-9.01278,
-36.0515,-9.01278,
-37.3831,-9.55768,
-37.3831,-9.55768,
-37.3831,-9.55768,
-37.3831,-9.55768,
-37.3831,-9.55768,
-37.3831,-9.55768,
-37.3831,-9.55768,
-35.5606,-9.31816,
-35.5606,-9.31816,
-35.5606,-9.31816,
-36.0971,-9.78301,
-35.8227,-9.56911,
-35.8227,-9.56911,
-35.8227,-9.56911,
-35.8227,-9.56911,
-35.8227,-9.56911,
-37.4576,-9.46986,
-37.4576,-9.46986,
-37.4576,-9.46986,
-36.4928,-9.64529,
-36.4928,-9.64529,
-36.4928,-9.64529,
-36.4928,-9.64529,
-36.4928,-9.64529,
-36.3492,-9.91656,
-36.3492,-9.91656,
-36.3492,-9.91656,
-36.3492,-9.91656,
-37.0071,-9.96262,
-36.2431,-9.36763,
-36.2431,-9.36763,
-36.2431,-9.36763,
-36.2431,-9.36763,
